Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
DIVERSITY,352,C18,36.7,2,2,0,1,58,1,0,18.34,18.34,1,0,1,1,1225,9.2,2,0,1,18,0,1,0,5,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,41,C3,45.9,0.3,1,0,1,45,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,0,2.5,1,1,1,0,0,0,0,0,0,3,1
DIVERSITY,48,C3,45.9,0.3,1,0,1,57,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,1,1.5,1,1,1,0,0,0,0,0,0,3,1
DIVERSITY,332,C17,45.9,0.8,3,1,0,41,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,333,C17,45.9,1,1,0,1,46,1,0,45.85,45.85,1,0,1,1,1250,11.5,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,410,C23,45.9,0.8,3,1,0,41,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
DIVERSITY,411,C23,45.9,0.8,3,1,0,54,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
DIVERSITY,358,C19,45.9,2,20,0,1,55,1,0,22.93,2.29,0.1,1,0,1,1381,11.5,2,0,1,19,1,0,0,120,0,0,0,1,0,0,1,0,0,2,1
DIVERSITY,350,C18,45.9,2,2,0,1,33,1,0,22.93,22.93,1,0,1,1,1225,11.5,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,392,C22,45.9,0.3,1,0,1,38,0,1,183.4,45.85,0.25,1,0,1,1358,11.5,2,0,1,22,1,0,0,60,0,0,0,1,0,0,1,0,0,3,1
DIVERSITY,313,C17,47.7,2,5,0,1,35,0,1,23.84,9.54,0.4,1,0,1,1250,11.9,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,4,C1,91.7,0.5,1,0,1,50,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,0.98,0,1,1,0,0,0,0,0,0,2,1
DIVERSITY,7,C1,91.7,0.5,1,1,0,25,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
DIVERSITY,16,C1,91.7,1,2,1,0,28,1,0,93.57,45.85,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,0,3.43,0,1,1,0,0,0,0,0,0,2,1
DIVERSITY,296,C16,91.7,2,3,0,1,48,1,0,45.85,30.57,0.67,1,0,1,1262,22.9,2,0,1,16,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,103,C6,55,4.9,2,0,1,47,1,0,11.23,27.51,2.45,0,1,1,847,13.8,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,2,C1,137.6,1.5,2,0,1,39,0,1,93.57,68.78,0.74,1,0,2,1237,34.4,1,1,0,1,1,0,0,2.45,0,1,1,0,0,0,0,0,0,2,1
DIVERSITY,299,C16,137.6,3,1,0,1,30,0,1,45.85,137.55,3,0,1,1,1262,34.4,2,0,1,16,0,1,1,1.5,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,37,C3,137.6,0.5,1,0,1,44,1,0,275.1,137.55,0.5,1,0,2,970,34.4,1,1,0,3,1,0,0,2.25,1,1,1,0,0,0,0,0,0,3,1
DIVERSITY,298,C16,183.4,4,2,0,1,60,1,0,45.85,91.7,2,0,1,1,1262,45.9,2,0,1,16,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,302,C16,183.4,8,1,1,0,54,0,1,22.93,183.4,8,0,1,1,1262,45.9,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,106,C6,55,2,2,1,0,25,1,0,28.07,27.51,0.98,0,1,1,847,13.8,1,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,108,C6,55,1,2,0,1,42,0,1,56.14,27.51,0.49,1,0,1,847,13.8,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,400,C22,55,0.3,1,1,0,43,0,1,220.08,55.02,0.25,1,0,1,1358,13.8,2,0,1,22,1,0,0,12,0,0,0,1,0,0,1,0,0,3,1
DIVERSITY,92,C6,64.2,2,2,1,0,25,0,1,32.75,32.1,0.98,0,1,1,847,16,1,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,99,C6,73.4,2,2,0,1,42,0,1,37.43,36.68,0.98,0,1,1,847,18.3,1,1,0,6,1,0,0,7.35,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,102,C6,73.4,1.5,3,0,1,43,1,0,49.9,24.45,0.49,1,0,1,847,18.3,1,1,0,6,1,0,0,13.72,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,361,C19,73.4,0.3,1,0,1,56,1,0,293.44,73.36,0.25,1,0,1,1381,18.3,2,0,1,19,1,0,0,25,0,0,0,1,0,0,1,0,0,2,1
